# stan_version_major = 2
# stan_version_minor = 21
# stan_version_patch = 0
# model = sblrc_blr_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     max_num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       num_cross_chains = 4 (Default)
#       cross_chain_window = 100 (Default)
#       cross_chain_rhat = 1.05 (Default)
#       cross_chain_ess = 200 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = sblrc-blr.data.R
# init = 2 (Default)
# random
#   seed = 1540963
# output
#   file = mpi.1.output.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,sigma
-380568,1,0.000488281,1,1,0,3.42491e+06,0.774371,-0.721778,-1.01809,-1.30734,0.497616,4.90742
-380568,0,14.3855,0,1,1,380571,0.774371,-0.721778,-1.01809,-1.30734,0.497616,4.90742
-380568,0,2.43117,0,1,1,380569,0.774371,-0.721778,-1.01809,-1.30734,0.497616,4.90742
-380568,0,0.239791,0,1,1,380569,0.774371,-0.721778,-1.01809,-1.30734,0.497616,4.90742
-380568,0,0.0186273,0,1,1,380574,0.774371,-0.721778,-1.01809,-1.30734,0.497616,4.90742
-74717.5,1,0.00130482,3,15,0,295863,0.604916,-0.668933,-0.905483,-1.11669,0.353398,9.39028
-36933.3,1,0.00189104,3,7,0,66439.3,0.528228,-0.64303,-0.850711,-1.02687,0.287147,12.2875
-14721.1,1,0.00305706,1,1,0,31302.4,0.423047,-0.602736,-0.772908,-0.906217,0.20501,17.3169
-4832.24,1,0.00530085,3,15,0,12054.2,0.283775,-0.535437,-0.664604,-0.748329,0.0924494,25.9122
-1761.07,1,0.00961161,2,3,0,3954.73,0.127696,-0.446627,-0.558856,-0.573988,-0.0236141,38.3944
