# stan_version_major = 2
# stan_version_minor = 21
# stan_version_patch = 0
# model = arK_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     max_num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       num_cross_chains = 4 (Default)
#       cross_chain_window = 100 (Default)
#       cross_chain_rhat = 1.05 (Default)
#       cross_chain_ess = 200 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 2
# data
#   file = arK.data.R
# init = 2 (Default)
# random
#   seed = 4809463
# output
#   file = mpi.2.output.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta.1,beta.2,beta.3,beta.4,beta.5,sigma
-140.604,0.571429,0.03125,3,7,0,1236.89,0.862277,0.4908,-1.38349,0.512083,1.29839,-1.03519,1.69909
-140.604,0,6.59954,0,1,1,148.861,0.862277,0.4908,-1.38349,0.512083,1.29839,-1.03519,1.69909
-140.604,0,0.885342,0,1,1,142.095,0.862277,0.4908,-1.38349,0.512083,1.29839,-1.03519,1.69909
81.7351,0.484838,0.0765357,2,3,0,96.6752,0.0420689,0.722004,-0.832369,0.934159,1.35588,-0.833983,0.482815
122.316,0.975109,0.021876,3,7,0,-80.9298,-0.0326822,0.615338,-0.881016,0.769778,1.19822,-0.925954,0.423104
141.086,0.943099,0.0282484,3,7,0,-120.482,-0.0151324,0.745217,-0.846805,0.774861,1.19341,-0.893172,0.357491
162.04,1,0.0373687,2,3,0,-142.422,-0.00416095,0.765542,-0.838763,0.772045,1.08483,-0.938114,0.286615
162.04,4.50782e-08,0.0634753,1,3,1,-159.109,-0.00416095,0.765542,-0.838763,0.772045,1.08483,-0.938114,0.286615
205.452,0.983173,0.00489224,5,47,0,-155.316,-0.0309085,1.02214,-0.325757,0.642707,0.541637,-0.990531,0.205617
256.648,0.992305,0.00840837,5,63,0,-202.768,0.00113198,0.663446,0.149634,0.157581,0.298683,-0.361196,0.165241
265.389,0.54853,0.0152949,3,7,0,-253.529,-0.00836377,0.69944,0.225906,0.153107,0.214646,-0.382692,0.163879
267.543,0.984074,0.00696266,5,31,0,-262.291,-0.00406721,0.836444,0.356136,-0.0266299,0.130835,-0.416573,0.146605
269.778,0.838091,0.0127066,4,15,0,-265.883,-0.0141193,0.771745,0.374555,-0.0394088,0.156985,-0.37075,0.146463
