# stan_version_major = 2
# stan_version_minor = 21
# stan_version_patch = 0
# model = eight_schools_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     max_num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       num_cross_chains = 1 (Default)
#       cross_chain_window = 100 (Default)
#       cross_chain_rhat = 1.05 (Default)
#       cross_chain_ess = 200 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = eight_schools.data.R
# init = 2 (Default)
# random
#   seed = 1919300
# output
#   file = 1.output.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta_trans.1,theta_trans.2,theta_trans.3,theta_trans.4,theta_trans.5,theta_trans.6,theta_trans.7,theta_trans.8,mu,tau,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8
-5.91758,0.448762,1,2,7,0,18.2425,-0.172721,-0.220378,1.09545,-1.27075,0.141418,0.205679,-1.01302,-0.935988,4.09189,3.9458,3.41036,3.22232,8.41431,-0.922245,4.64989,4.90345,0.0947022,0.398666
-5.91758,0,5.28024,0,1,1,8.70559,-0.172721,-0.220378,1.09545,-1.27075,0.141418,0.205679,-1.01302,-0.935988,4.09189,3.9458,3.41036,3.22232,8.41431,-0.922245,4.64989,4.90345,0.0947022,0.398666
-6.63975,0.657148,0.663048,3,7,0,13.4757,0.219441,0.3129,-0.959048,0.548542,-0.265913,-0.139645,1.51131,1.31602,3.22319,0.415262,3.31431,3.35312,2.82493,3.45098,3.11277,3.1652,3.85078,3.76968
-9.72217,0.970024,0.31798,4,31,0,14.8496,0.440715,-1.83577,0.215056,1.58641,0.2691,0.877519,-1.57357,0.621708,-0.406964,3.20794,1.00682,-6.29599,0.282923,4.68215,0.456291,2.40806,-5.45489,1.58743
-9.68284,0.986367,0.402916,4,15,0,14.6417,-0.620673,-0.35803,-0.586746,1.12145,0.995441,-0.650967,-2.31006,-0.499921,-0.545426,0.727218,-0.996791,-0.805792,-0.972119,0.270111,0.178476,-1.01882,-2.22535,-0.908978
-13.7117,0.874081,0.610737,3,7,0,19.135,-1.04905,1.26363,-0.603874,0.085016,-1.27722,0.985353,0.0709712,-2.50719,-3.15025,0.198913,-3.35892,-2.89889,-3.27036,-3.13334,-3.4043,-2.95425,-3.13613,-3.64896
-11.4481,0.747991,0.710569,3,11,0,23.5806,1.4581,-1.1521,0.250675,-1.37243,1.94636,-0.143826,0.497363,2.64085,6.4568,1.07105,8.01849,5.22284,6.72528,4.98686,8.54144,6.30275,6.98949,9.28527
-6.47526,0.999192,0.578431,3,7,0,15.9039,1.5123,1.62106,1.00803,1.0257,-0.69388,-0.312416,-0.124152,-0.389433,4.54648,9.38868,18.745,19.7661,14.0106,14.1765,-1.96813,1.61331,3.38086,0.890219
-6.92329,1,1.05238,2,3,0,8.9888,-1.29153,-1.61846,-0.997819,-1.05008,-0.130501,0.332415,0.878247,0.462737,2.30979,1.69321,0.122951,-0.430607,0.620273,0.531789,2.08883,2.87264,3.79685,3.09331
-6.92329,4.51372e-13,1.95764,1,2,1,16.1417,-1.29153,-1.61846,-0.997819,-1.05008,-0.130501,0.332415,0.878247,0.462737,2.30979,1.69321,0.122951,-0.430607,0.620273,0.531789,2.08883,2.87264,3.79685,3.09331
