# stan_version_major = 2
# stan_version_minor = 21
# stan_version_patch = 0
# model = eight_schools_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     max_num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       num_cross_chains = 4 (Default)
#       cross_chain_window = 100 (Default)
#       cross_chain_rhat = 1.05 (Default)
#       cross_chain_ess = 200 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 2
# data
#   file = eight_schools.data.R
# init = 2 (Default)
# random
#   seed = 1919300
# output
#   file = mpi.2.output.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta_trans.1,theta_trans.2,theta_trans.3,theta_trans.4,theta_trans.5,theta_trans.6,theta_trans.7,theta_trans.8,mu,tau,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8
-10.5103,6.41621e-36,2,1,1,0,17.0684,0.272625,0.753247,-1.82373,-0.945165,-1.40461,-1.81451,-0.930397,1.16931,1.59339,0.452034,1.71663,1.93388,0.769004,1.16615,0.958462,0.773174,1.17282,2.12196
-10.5103,2.08286e-14,2.33506,1,2,1,14.3849,0.272625,0.753247,-1.82373,-0.945165,-1.40461,-1.81451,-0.930397,1.16931,1.59339,0.452034,1.71663,1.93388,0.769004,1.16615,0.958462,0.773174,1.17282,2.12196
-6.4328,0.999836,0.230236,4,15,0,14.2742,0.35229,0.283201,1.09666,-0.211518,0.85241,1.42952,-0.183995,0.685338,4.47929,7.8713,7.25227,6.70846,13.1114,2.81437,11.1889,15.7315,3.03101,9.87379
-7.75656,0.980902,0.239687,4,15,0,13.4846,-0.0455948,-0.142064,-1.24126,0.290287,-1.29253,-1.69117,0.571624,-0.638758,7.24204,0.368419,7.22524,7.1897,6.78474,7.34899,6.76585,6.61898,7.45264,7.00671
-9.14542,0.938783,0.306965,4,15,0,18.2072,0.939163,1.24175,1.47989,0.407238,-0.872913,1.51913,1.06568,1.38353,4.31489,0.470543,4.7568,4.89918,5.01124,4.50651,3.90414,5.0297,4.81633,4.9659
-9.46881,0.930663,0.399005,3,7,0,14.7117,0.18781,1.04579,2.48665,0.4267,1.18551,-0.0632893,0.618932,1.25208,4.38512,8.05298,5.89755,12.8069,24.4101,7.82133,13.932,3.87545,9.36937,14.4681
-10.1222,1,0.545736,3,7,0,14.8283,1.42142,0.157577,-2.25442,-1.29806,-2.20059,0.0552673,-0.684766,-0.206516,7.75548,1.19892,9.45964,7.9444,5.05261,6.19921,5.11714,7.82174,6.9345,7.50788
-10.1222,0.020064,0.969157,2,3,0,13.8701,1.42142,0.157577,-2.25442,-1.29806,-2.20059,0.0552673,-0.684766,-0.206516,7.75548,1.19892,9.45964,7.9444,5.05261,6.19921,5.11714,7.82174,6.9345,7.50788
-12.8883,0.997662,0.0816787,5,63,0,20.1208,0.850283,0.459036,0.0386287,-2.52933,-2.62191,-1.05941,0.828583,-1.133,7.67065,0.409566,8.0189,7.85866,7.68647,6.63472,6.5968,7.23675,8.01001,7.20661
-10.642,0.999301,0.148969,5,31,0,18.5116,-0.0359536,-0.0529753,-0.752572,1.45395,1.37858,2.49812,0.711724,1.35646,4.8925,0.379221,4.87886,4.87241,4.60711,5.44386,5.41528,5.83984,5.1624,5.40689
-10.7336,0.980355,0.278146,4,15,0,19.0006,-0.11127,-0.242041,0.0751133,-1.51592,-0.771007,2.98764,-0.338548,-0.546704,5.43739,0.23608,5.41112,5.38025,5.45512,5.07951,5.25537,6.14271,5.35746,5.30832
-8.93617,0.994957,0.493685,3,7,0,13.406,-0.949381,-0.345329,0.961782,-1.29391,0.477609,2.55777,-0.130711,0.0333539,5.65153,0.692542,4.99404,5.41238,6.31761,4.75544,5.9823,7.42289,5.56101,5.67463
-8.52836,0.597427,0.920492,2,7,0,15.1054,-0.0301069,1.49982,1.05232,-2.01505,1.00058,0.0499807,1.18585,1.04912,6.12839,1.20176,6.09221,7.9308,7.39302,3.70679,7.33085,6.18845,7.5535,7.38918
-10.5299,1,0.492913,3,15,0,14.778,0.129409,-1.52727,-1.13636,1.9439,-1.23662,-0.454955,-1.04166,-1.02309,12.1907,4.41546,12.7621,5.44707,7.17314,20.7739,6.73044,10.1818,7.59128,7.67325
-10.5299,0.128244,0.934927,2,3,0,14.1858,0.129409,-1.52727,-1.13636,1.9439,-1.23662,-0.454955,-1.04166,-1.02309,12.1907,4.41546,12.7621,5.44707,7.17314,20.7739,6.73044,10.1818,7.59128,7.67325
-12.723,0.984613,0.118398,5,31,0,18.2078,0.565712,-0.0843551,0.341434,-2.03868,-0.537981,1.63807,2.58666,0.0252019,12.0001,1.11533,12.6311,11.906,12.3809,9.72633,11.4001,13.8271,14.8851,12.0282
-7.70719,0.99862,0.21547,4,15,0,18.1367,0.698196,0.161318,-0.079768,1.54525,-0.398719,-1.89599,-1.35373,-0.491102,7.65229,5.35007,11.3877,8.51536,7.22553,15.9195,5.51912,-2.49137,0.409719,5.02486
-6.75125,0.974235,0.406603,3,15,0,12.2393,1.76757,-1.54732,-0.3566,-0.513075,-0.610188,-0.54542,0.776693,-1.09457,5.47752,1.31955,7.8099,3.43576,5.00696,4.80049,4.67234,4.75781,6.5024,4.03318
-7.0285,0.729796,0.706761,3,7,0,14.8829,-0.0290721,-1.23802,-1.4759,0.40901,-0.926672,0.379403,-0.558097,-1.57949,9.1848,3.58835,9.08048,4.74235,3.88875,10.6525,5.85957,10.5462,7.18215,3.51703
-5.74773,0.983102,0.584591,3,7,0,8.20646,0.244487,-0.639163,-0.85091,0.463596,-0.287447,0.0593236,-0.360828,-1.72898,8.76996,1.76354,9.20112,7.64277,7.26934,9.58753,8.26303,8.87458,8.13362,5.72084
-5.74773,0.0761891,1.03294,2,3,0,13.3531,0.244487,-0.639163,-0.85091,0.463596,-0.287447,0.0593236,-0.360828,-1.72898,8.76996,1.76354,9.20112,7.64277,7.26934,9.58753,8.26303,8.87458,8.13362,5.72084
