# stan_version_major = 2
# stan_version_minor = 21
# stan_version_patch = 0
# model = garch_garch11_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     max_num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       num_cross_chains = 1 (Default)
#       cross_chain_window = 100 (Default)
#       cross_chain_rhat = 1.05 (Default)
#       cross_chain_ess = 200 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = garch-garch11.data.R
# init = 2 (Default)
# random
#   seed = 1569824
# output
#   file = 1.output.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha0,alpha1,beta1
-578.492,1,0.125,1,1,0,638.224,-1.18342,1.35172,0.219002,0.616366
-578.492,0,14.3855,0,1,1,581.472,-1.18342,1.35172,0.219002,0.616366
-578.492,0,2.43117,0,1,1,580.055,-1.18342,1.35172,0.219002,0.616366
-351.852,1,0.239791,2,3,0,551.807,4.48011,7.0236,0.309605,0.66261
-351.852,1.24925e-67,0.324332,1,1,0,352.913,4.48011,7.0236,0.309605,0.66261
-350.265,1,0.0257257,2,3,0,352.066,4.48653,6.87344,0.310268,0.661539
-330.665,0.990225,0.0404064,2,3,0,353.198,4.69868,5.62353,0.353461,0.619891
-326.143,1,0.0666647,2,3,0,331.193,4.73075,5.2791,0.359473,0.61323
-275.219,1,0.119086,2,3,0,323.042,5.13976,1.55844,0.48811,0.49258
-270.193,0.461659,0.219203,2,7,0,274.439,5.11041,0.855347,0.70159,0.290453
-270.276,0.998769,0.0747961,3,15,0,271.351,5.08172,0.80511,0.688365,0.303818
-270.899,0.377875,0.140917,2,3,0,274.591,5.1449,0.753918,0.690172,0.30294
-270.758,0.99901,0.037775,4,31,0,271.471,5.17081,0.82572,0.696553,0.297221
-271.848,0.923568,0.0722591,3,7,0,273.935,5.07304,0.663351,0.695406,0.297253
-270.315,0.640484,0.109139,3,15,0,274.926,4.9179,0.960812,0.673794,0.316785
-269.728,0.994697,0.0685019,6,63,0,273.651,5.23574,1.17247,0.593878,0.377638
-268.181,0.992846,0.129082,4,19,0,270.404,5.17248,1.47088,0.395941,0.370489
-268.339,0.220502,0.240236,3,11,0,269.235,4.93772,1.98595,0.409964,0.335957
-267.614,0.998879,0.0427089,4,31,0,270.518,4.97801,1.98941,0.499968,0.281497
-267.314,0.945144,0.0811299,3,15,0,269.281,5.05432,1.62635,0.539022,0.207623
-267.529,0.991594,0.130108,4,31,0,268.322,5.07093,0.802597,0.515144,0.394561
-267.529,0.00792005,0.237724,2,7,0,269.577,5.07093,0.802597,0.515144,0.394561
-267.383,0.999157,0.0240642,7,127,0,267.992,5.12597,1.35544,0.495002,0.282363
-269.671,0.933533,0.0451911,5,47,0,272.209,5.29143,1.21173,0.44901,0.339576
-268.361,0.999003,0.0695329,4,23,0,270.697,5.18029,1.77909,0.619976,0.272579
-267.371,0.967195,0.1281,3,7,0,268.953,5.06605,1.58784,0.619879,0.283735
-267.371,0.185751,0.213488,1,3,0,268.108,5.06605,1.58784,0.619879,0.283735
-267.118,0.99982,0.0392908,4,15,0,267.611,5.02394,1.40226,0.635227,0.275902
-267.705,0.993096,0.071829,4,31,0,270.006,5.02018,0.827302,0.448856,0.479842
-269.718,0.931373,0.12761,4,15,0,271.441,5.10583,0.527177,0.442059,0.527115
-269.123,0.671911,0.189635,3,15,0,271.375,5.12454,0.605736,0.415517,0.525364
-269.863,0.97734,0.138377,3,7,0,270.605,4.91989,0.867261,0.400434,0.550092
-269.863,0.0223764,0.231075,2,7,0,271.962,4.91989,0.867261,0.400434,0.550092
-269.714,0.998491,0.0298319,5,31,0,271.125,5.11749,1.0158,0.438497,0.510747
-268.896,0.996384,0.0528978,5,47,0,271.647,5.18077,1.24879,0.762018,0.200558
-268.986,1,0.0924239,5,43,0,272.372,5.15757,1.31915,0.780282,0.19086
