# stan_version_major = 2
# stan_version_minor = 21
# stan_version_patch = 0
# model = garch_garch11_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     max_num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       num_cross_chains = 1 (Default)
#       cross_chain_window = 100 (Default)
#       cross_chain_rhat = 1.05 (Default)
#       cross_chain_ess = 200 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 3
# data
#   file = garch-garch11.data.R
# init = 2 (Default)
# random
#   seed = 1569824
# output
#   file = 3.output.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha0,alpha1,beta1
-330.786,1,0.25,2,3,0,474.819,5.86936,12.8756,0.802832,0.0789824
-330.786,0,14.3855,0,1,1,331.721,5.86936,12.8756,0.802832,0.0789824
-330.786,0,2.43117,0,1,1,331.339,5.86936,12.8756,0.802832,0.0789824
-281.992,1,0.239791,1,1,0,317.012,5.60496,3.60589,0.837644,0.0602237
-281.992,6.51213e-80,0.324332,1,1,0,284.916,5.60496,3.60589,0.837644,0.0602237
-280.377,0.998923,0.0257257,3,7,0,282.862,5.5614,3.50052,0.833948,0.0639916
-271.382,1,0.0402734,4,15,0,281.25,5.27941,2.47737,0.836196,0.0670997
-271.523,0.997872,0.0684943,3,7,0,271.789,5.29212,2.48726,0.834177,0.0695638
-270.419,0.99356,0.12157,4,15,0,271.538,4.96826,2.39276,0.818316,0.074334
-268.978,0.488623,0.219293,3,15,0,271.448,5.08367,2.17577,0.746151,0.0770908
-267.279,0.951709,0.0814872,4,23,0,273.437,5.02139,1.67054,0.514908,0.219109
-267.346,0.967718,0.132304,4,27,0,269.633,5.01358,1.54841,0.647792,0.262943
-267.631,0.987722,0.227306,3,7,0,267.936,5.08431,1.50061,0.725534,0.196461
-268.027,0.289795,0.416374,1,3,0,268.244,5.03052,1.8065,0.727362,0.196013
-267.627,0.957693,0.0863314,4,31,0,268.982,5.15614,1.23456,0.667427,0.262252
-267.797,0.999582,0.145003,4,15,0,269.119,5.1661,1.67527,0.719274,0.167272
-268.036,0.192373,0.275939,2,7,0,270.097,5.20127,1.4307,0.662747,0.26443
-268.689,0.980589,0.0442991,4,15,0,270.009,5.24193,1.13895,0.671881,0.256675
-269.74,0.995828,0.0798601,5,39,0,271.555,4.95301,0.848712,0.664223,0.286822
