# stan_version_major = 2
# stan_version_minor = 21
# stan_version_patch = 0
# model = arK_arK_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     max_num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       num_cross_chains = 1 (Default)
#       cross_chain_window = 100 (Default)
#       cross_chain_rhat = 1.05 (Default)
#       cross_chain_ess = 400
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = arK-arK.data.R
# init = 2 (Default)
# random
#   seed = 4220681
# output
#   file = 1.output.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta.1,beta.2,beta.3,beta.4,beta.5,sigma
-279.361,1,0.03125,3,7,0,612.617,-1.68381,1.52363,-1.9451,-1.40719,1.02855,-1.57893,1.77579
-279.361,0,14.3855,0,1,1,282.098,-1.68381,1.52363,-1.9451,-1.40719,1.02855,-1.57893,1.77579
-279.361,0,2.43117,0,1,1,283.581,-1.68381,1.52363,-1.9451,-1.40719,1.02855,-1.57893,1.77579
-279.361,0,0.239791,1,1,0,280.875,-1.68381,1.52363,-1.9451,-1.40719,1.02855,-1.57893,1.77579
-252.974,0.96457,0.0186273,2,3,0,284.429,-1.62658,1.65173,-1.90799,-1.40895,1.02266,-1.458,2.00056
-238.977,0.999518,0.0231469,3,7,0,255.253,-1.53769,1.76046,-1.9198,-1.39136,1.04926,-1.3738,2.08971
-42.0516,0.788784,0.036199,3,7,0,245.724,-0.361293,2.09756,-1.74394,-0.646161,2.00066,-0.941511,1.10467
90.2213,1,0.031845,3,7,0,26.8464,0.112879,2.08762,-1.40309,-0.578821,1.96089,-1.06494,0.351105
90.2213,0.000130412,0.0564817,2,3,0,-88.6935,0.112879,2.08762,-1.40309,-0.578821,1.96089,-1.06494,0.351105
97.6803,0.999282,0.00440605,4,15,0,-87.5369,0.0775568,2.06605,-1.43312,-0.589257,1.91904,-1.03536,0.360667
