# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = dawid_model
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = examples/dawid/caries_dump.R
# init = 2 (Default)
# random
#   seed = 1906488832 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# chains
#   n_chains = 8
# num_threads = 20
# stanc_version = stanc3 a7f4b745
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,logit_pi,logit_alpha.1.1,logit_alpha.2.1,logit_alpha.3.1,logit_alpha.4.1,logit_alpha.5.1,logit_alpha.1.2,logit_alpha.2.2,logit_alpha.3.2,logit_alpha.4.2,logit_alpha.5.2
# Adaptation terminated
# Step size = 0.210118
# Diagonal elements of inverse mass matrix:
# 0.0037317, 0.041765, 0.00291115, 0.00439327, 0.00154924, 0.0562129, 0.00300953, 0.0200317, 0.00255165, 0.00198092, 0.00298475
-7467.38,0.892077,0.210118,5,31,0,7471.4,-1.33866,-4.48173,-2.17959,-4.22994,-3.50781,-0.841514,-0.417099,0.974977,0.51815,-0.0176659,2.29813
-7472,0.679609,0.210118,4,15,0,7476.56,-1.37138,-4.4177,-2.25847,-4.77858,-3.44145,-0.87825,-0.610852,0.780622,0.21862,0.0198157,2.3634
-7471.61,0.983505,0.210118,4,31,0,7478.91,-1.38958,-4.30047,-2.18097,-3.9837,-3.61824,-0.747246,-0.230643,0.973115,0.306961,-0.07675,2.45026
-7469.87,0.96063,0.210118,3,15,0,7479.82,-1.45149,-4.50372,-2.22251,-4.18304,-3.37081,-0.810451,-0.550241,0.827026,0.497963,0.0448716,2.18856
-7467.83,0.910537,0.210118,3,15,0,7473.02,-1.43648,-4.39809,-2.21288,-4.19285,-3.42959,-0.805621,-0.305869,0.871122,0.530207,-0.0960031,2.13632
-7466.27,0.981892,0.210118,5,31,0,7470.28,-1.46436,-4.54969,-2.1275,-4.21456,-3.40151,-0.868123,-0.39864,0.957753,0.516329,-0.0766847,2.5103
