# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = dawid_model
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = examples/dawid/caries_dump.R
# init = 2 (Default)
# random
#   seed = 1906488832 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# chains
#   n_chains = 8
# num_threads = 20
# stanc_version = stanc3 a7f4b745
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,logit_pi,logit_alpha.1.1,logit_alpha.2.1,logit_alpha.3.1,logit_alpha.4.1,logit_alpha.5.1,logit_alpha.1.2,logit_alpha.2.2,logit_alpha.3.2,logit_alpha.4.2,logit_alpha.5.2
# Adaptation terminated
# Step size = 0.230323
# Diagonal elements of inverse mass matrix:
# 0.00340739, 0.0497701, 0.00335987, 0.00512766, 0.00140929, 0.0408401, 0.00242132, 0.0168297, 0.00206747, 0.00231387, 0.00256592
-7466.9,0.825329,0.230323,4,15,0,7471.85,-1.38942,-4.35785,-2.14789,-4.37317,-3.33348,-0.778242,-0.304825,0.864958,0.535525,-0.0879449,2.47824
-7467.13,0.999773,0.230323,5,31,0,7471.19,-1.39129,-4.4208,-2.1489,-4.46579,-3.58714,-0.825907,-0.512493,0.833853,0.289656,0.02104,2.19786
-7472.11,0.845358,0.230323,4,15,0,7475.32,-1.26121,-4.6894,-2.29802,-4.48018,-3.5329,-0.819325,-0.653568,0.854852,0.20795,-0.177831,2.08953
-7472.84,0.920725,0.230323,4,15,0,7479.83,-1.35632,-4.53018,-2.35003,-4.61559,-3.56374,-0.840099,-0.258403,0.972124,0.387934,0.0539392,2.17581
-7468.64,0.959342,0.230323,5,31,0,7477.64,-1.3316,-4.54827,-2.13632,-4.50042,-3.58969,-0.843338,-0.400264,0.878987,0.437886,-0.210843,2.33834
-7468.57,0.803064,0.230323,4,15,0,7476.66,-1.39484,-4.72439,-2.18497,-4.52259,-3.60586,-0.831516,-0.353651,0.823354,0.370668,-0.223877,2.35157
