# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = dawid_model
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = examples/dawid/caries_dump.R
# init = 2 (Default)
# random
#   seed = 1906488832 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# chains
#   n_chains = 8
# num_threads = 20
# stanc_version = stanc3 a7f4b745
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,logit_pi,logit_alpha.1.1,logit_alpha.2.1,logit_alpha.3.1,logit_alpha.4.1,logit_alpha.5.1,logit_alpha.1.2,logit_alpha.2.2,logit_alpha.3.2,logit_alpha.4.2,logit_alpha.5.2
# Adaptation terminated
# Step size = 0.213105
# Diagonal elements of inverse mass matrix:
# 0.00389959, 0.0507048, 0.00331797, 0.00663633, 0.00173176, 0.0576565, 0.00289664, 0.0182957, 0.00230872, 0.00304805, 0.00288768
-7469.74,0.999407,0.213105,3,7,0,7478.12,-1.44569,-4.43959,-2.06491,-4.09156,-3.27954,-0.75876,-0.262407,0.996875,0.543138,-0.205094,2.40903
-7467.38,0.986672,0.213105,4,31,0,7475.19,-1.48102,-4.75927,-2.1151,-3.99148,-3.39508,-0.831228,-0.356463,0.916427,0.375746,0.00569613,2.71048
-7466.14,0.987411,0.213105,4,15,0,7470.52,-1.36078,-4.23627,-2.19872,-4.27194,-3.33412,-0.812123,-0.401161,1.01051,0.415049,-0.0709067,2.41998
-7466.85,0.81521,0.213105,4,15,0,7469.77,-1.48691,-4.45168,-2.11566,-4.38845,-3.36498,-0.852176,-0.287455,0.878487,0.391973,0.0296416,2.45091
-7466.28,0.945077,0.213105,4,15,0,7470.29,-1.37566,-4.43582,-2.23966,-4.43339,-3.47926,-0.844986,-0.343754,0.936014,0.280727,0.000794273,2.39722
-7467.36,0.974921,0.213105,5,31,0,7470.67,-1.36983,-4.43051,-2.26932,-4.34865,-3.48271,-0.813413,-0.411085,1.06082,0.413086,0.00368259,2.16788
-7467.67,0.980709,0.213105,5,31,0,7472.03,-1.43574,-4.3821,-2.14615,-3.94031,-3.30632,-0.86495,-0.356154,1.05266,0.398806,-0.0841452,2.74599
-7467.66,0.903025,0.213105,5,31,0,7471.57,-1.36131,-4.61529,-2.15252,-4.59913,-3.47498,-0.782374,-0.387766,0.835257,0.297437,-0.0852075,2.09955
-7466.58,0.954888,0.213105,5,31,0,7471.76,-1.41515,-4.48393,-2.15434,-4.36506,-3.43461,-0.808355,-0.3432,0.872214,0.48032,0.0105155,2.0715
-7466.9,0.893993,0.213105,4,15,0,7469.63,-1.39281,-4.45545,-2.18317,-4.47281,-3.42165,-0.865361,-0.338448,0.981969,0.482866,-0.107931,2.57629
-7471.17,0.774165,0.213105,4,15,0,7473.97,-1.45126,-4.07897,-2.0506,-3.99276,-3.33571,-0.752287,-0.185535,0.946094,0.595932,0.053315,2.32986
-7469.3,0.974786,0.213105,4,15,0,7473.89,-1.51014,-4.43097,-2.18792,-3.90571,-3.36859,-0.802822,-0.281822,0.959678,0.666869,-0.0336412,2.44079
-7467.94,0.984538,0.213105,4,15,0,7473.95,-1.45431,-4.27148,-2.16189,-4.11315,-3.20589,-0.82629,-0.233307,0.890458,0.561608,-0.0547897,2.55234
-7469.88,0.947832,0.213105,4,15,0,7471.09,-1.48717,-4.30157,-2.13583,-3.91581,-3.18861,-0.798511,-0.128681,1.0972,0.605737,-0.0246801,2.66641
-7470.7,0.802427,0.213105,2,7,0,7476.24,-1.49904,-4.22211,-2.13848,-3.89919,-3.16947,-0.7565,-0.113709,1.11197,0.571432,-0.0237405,2.71387
-7466.35,0.966949,0.213105,4,31,0,7476.38,-1.41808,-4.25298,-2.15817,-4.30406,-3.26197,-0.849396,-0.389987,0.938025,0.455688,-0.132082,2.32001
-7465.53,0.917451,0.213105,5,31,0,7470.52,-1.4855,-4.55273,-2.14677,-3.93326,-3.38584,-0.818681,-0.274351,0.984797,0.469527,0.0205469,2.48531
