# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = dawid_model
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = examples/dawid/caries_dump.R
# init = 2 (Default)
# random
#   seed = 1906488832 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# chains
#   n_chains = 8
# num_threads = 20
# stanc_version = stanc3 a7f4b745
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,logit_pi,logit_alpha.1.1,logit_alpha.2.1,logit_alpha.3.1,logit_alpha.4.1,logit_alpha.5.1,logit_alpha.1.2,logit_alpha.2.2,logit_alpha.3.2,logit_alpha.4.2,logit_alpha.5.2
# Adaptation terminated
# Step size = 0.229482
# Diagonal elements of inverse mass matrix:
# 0.00446382, 0.0384635, 0.00257878, 0.00473944, 0.00146287, 0.0456624, 0.00238117, 0.017033, 0.0021853, 0.00207362, 0.00284218
-7472.11,0.956475,0.229482,4,15,0,7475.71,-1.5591,-4.06775,-2.13924,-4.59964,-3.15382,-0.774106,-0.314479,1.03143,0.568244,-0.00241589,2.42024
-7468.79,0.929781,0.229482,4,15,0,7476.47,-1.43922,-4.22179,-2.07332,-4.32183,-3.35682,-0.725245,-0.30751,0.949198,0.390119,-0.0371328,2.3417
-7468.93,0.998788,0.229482,4,31,0,7471.07,-1.35975,-4.69588,-2.23211,-4.30536,-3.56994,-0.943202,-0.379654,0.953994,0.284557,-0.0368068,2.33677
-7469.36,0.933751,0.229482,4,15,0,7474.69,-1.3464,-4.46552,-2.32387,-4.57307,-3.45249,-0.767493,-0.510999,1.00325,0.379881,-0.0790983,2.29918
-7466.27,0.865024,0.229482,4,31,0,7476.54,-1.41118,-4.41921,-2.08687,-4.21006,-3.28827,-0.841273,-0.391741,0.945821,0.425074,-0.0451196,2.67334
-7465.14,0.885597,0.229482,4,15,0,7470.23,-1.46468,-4.56174,-2.18897,-4.07197,-3.32086,-0.811375,-0.404135,1.03852,0.44755,-0.0602158,2.45545
-7466.82,0.981535,0.229482,4,31,0,7468.89,-1.4989,-4.56804,-2.19686,-4.36471,-3.28153,-0.810171,-0.398266,1.0436,0.523338,0.0108348,2.40225
-7465.99,0.98764,0.229482,5,31,0,7468.05,-1.42431,-4.41099,-2.13664,-4.11214,-3.50724,-0.850841,-0.384584,0.889907,0.490523,0.052695,2.30319
-7469.9,0.829732,0.229482,4,15,0,7473.9,-1.51572,-4.35202,-2.05,-4.15811,-3.51687,-0.850167,-0.398068,0.808567,0.448052,-0.014309,2.24434
-7469.51,0.942081,0.229482,5,31,0,7475.2,-1.41331,-4.42116,-2.39688,-4.46668,-3.4181,-0.840158,-0.433507,0.950881,0.40446,-0.0282361,2.39976
-7468.41,0.958745,0.229482,5,31,0,7473.3,-1.36402,-4.51112,-2.36857,-4.20589,-3.53891,-0.873169,-0.488807,0.976268,0.311329,-0.139033,2.41103
-7468.93,0.903037,0.229482,5,31,0,7475.4,-1.45141,-4.93501,-2.14956,-4.0185,-3.39539,-0.844136,-0.409866,0.796981,0.370425,0.0839928,2.37291
-7468.23,0.835542,0.229482,4,15,0,7475.81,-1.44479,-4.44227,-2.20576,-4.37586,-3.56716,-0.820671,-0.517041,0.780014,0.254993,-0.0428121,2.36048
-7465.25,0.891948,0.229482,3,7,0,7471.72,-1.43188,-4.37524,-2.19443,-4.30602,-3.54371,-0.824852,-0.424414,0.825113,0.423495,-0.0169343,2.31845
-7467.75,0.742075,0.229482,4,15,0,7472.28,-1.41995,-4.83433,-2.21274,-4.2082,-3.34804,-0.789133,-0.515141,0.873001,0.43051,-0.0867234,2.43567
-7466.97,0.9414,0.229482,5,31,0,7470.56,-1.38947,-4.24479,-2.15624,-4.36185,-3.53974,-0.811922,-0.352708,0.901554,0.534563,-0.0536382,2.45627
-7467.02,0.957603,0.229482,4,15,0,7470.07,-1.43749,-4.32956,-2.15197,-4.35896,-3.50558,-0.850671,-0.428848,0.973399,0.540868,-0.0655573,2.55611
-7467.45,0.888595,0.229482,5,31,0,7471,-1.36051,-4.64078,-2.20106,-4.53915,-3.57752,-0.796143,-0.48465,0.798079,0.487312,-0.0652779,2.25548
-7466.05,0.997616,0.229482,5,31,0,7470.18,-1.42647,-4.33683,-2.1237,-3.90887,-3.31119,-0.782047,-0.341374,0.945827,0.393576,0.00903971,2.48025
-7464.9,0.981738,0.229482,4,15,0,7467.14,-1.45416,-4.52754,-2.21194,-4.18689,-3.41231,-0.845332,-0.366567,0.995001,0.430731,0.0198208,2.42997
-7468.16,0.679012,0.229482,3,15,0,7472.91,-1.40329,-4.37744,-2.12017,-4.46932,-3.43228,-0.838592,-0.237876,0.856967,0.566825,-0.0241993,2.30401
