# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = dawid_model
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = examples/dawid/caries_dump.R
# init = 2 (Default)
# random
#   seed = 1906488832 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# chains
#   n_chains = 8
# num_threads = 20
# stanc_version = stanc3 a7f4b745
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,logit_pi,logit_alpha.1.1,logit_alpha.2.1,logit_alpha.3.1,logit_alpha.4.1,logit_alpha.5.1,logit_alpha.1.2,logit_alpha.2.2,logit_alpha.3.2,logit_alpha.4.2,logit_alpha.5.2
# Adaptation terminated
# Step size = 0.224614
# Diagonal elements of inverse mass matrix:
# 0.00376873, 0.0439261, 0.00327494, 0.00478056, 0.00163851, 0.0507466, 0.00246288, 0.0215574, 0.00245829, 0.00191117, 0.00234591
-7474.52,0.960065,0.224614,5,31,0,7480.76,-1.34343,-4.84264,-2.17009,-3.81468,-3.19014,-0.793992,-0.285045,0.929014,0.551177,0.0436791,2.4487
-7467.82,1,0.224614,4,15,0,7476.25,-1.46127,-4.64184,-2.18682,-4.21589,-3.41108,-0.837246,-0.268889,0.864039,0.581073,-0.0334545,2.60248
-7468.92,0.928465,0.224614,4,31,0,7475.9,-1.50544,-4.77419,-2.12172,-4.19689,-3.43178,-0.83935,-0.368905,0.750645,0.349617,-0.0168865,2.49274
-7468.39,0.999228,0.224614,4,31,0,7471.78,-1.37317,-4.15427,-2.23457,-3.98554,-3.39548,-0.811517,-0.356366,1.08839,0.388558,-0.0489521,2.52318
-7475.32,0.735519,0.224614,4,15,0,7479.74,-1.42477,-4.35946,-2.24073,-4.26174,-3.55876,-0.985459,-0.340072,0.787331,0.240967,-0.135388,2.28349
-7476.17,0.962649,0.224614,4,15,0,7484.92,-1.31061,-4.54828,-2.04615,-3.90708,-3.50314,-0.879764,-0.30048,0.937974,0.215497,-0.0386838,2.79382
-7469.66,0.985592,0.224614,5,31,0,7481.04,-1.44567,-4.99061,-2.28538,-4.0897,-3.4813,-0.843282,-0.391596,0.977508,0.425022,-0.0432839,2.17345
-7469.68,0.877091,0.224614,3,15,0,7482.79,-1.42689,-4.29133,-2.09022,-4.38741,-3.52714,-0.871797,-0.504207,1.00062,0.420359,-0.0757213,2.15802
-7469.06,0.969722,0.224614,4,31,0,7475.32,-1.32088,-4.47475,-2.2242,-4.10359,-3.46266,-0.807389,-0.42433,0.732728,0.239098,-0.0614583,2.51438
-7470.74,0.521973,0.224614,4,15,0,7477.12,-1.45525,-4.42324,-2.18497,-4.14299,-3.35939,-0.911577,-0.411072,1.0786,0.580823,-0.0451721,2.28819
-7470.05,0.949848,0.224614,4,15,0,7475.5,-1.42391,-4.22502,-2.30082,-4.02374,-3.34393,-0.7608,-0.481959,0.890584,0.450498,-0.0631676,2.52813
-7470.86,0.826512,0.224614,4,15,0,7478.33,-1.51092,-4.63603,-2.001,-4.31157,-3.30524,-0.773946,-0.335419,0.972988,0.591082,-0.013689,2.10799
-7469.74,0.926797,0.224614,4,15,0,7476.03,-1.32625,-4.57015,-2.23666,-4.37481,-3.63674,-0.868258,-0.440203,0.804827,0.201046,-0.0455513,2.7017
-7470.16,0.822108,0.224614,4,15,0,7476.42,-1.4857,-4.39838,-2.09849,-4.5441,-3.34439,-0.845432,-0.361279,0.874279,0.601947,-0.184745,2.28437
-7468.42,0.994737,0.224614,5,31,0,7474.83,-1.3497,-4.09161,-2.19228,-4.26972,-3.35085,-0.801911,-0.374605,0.931286,0.449894,-0.099116,2.27463
-7466.94,0.875241,0.224614,4,15,0,7471.55,-1.49968,-4.33233,-2.15811,-4.1608,-3.38375,-0.786823,-0.294655,1.003,0.64068,0.0155508,2.3409
-7467.99,0.985924,0.224614,4,15,0,7470.25,-1.50439,-4.41735,-2.12687,-4.22192,-3.51161,-0.748264,-0.43988,0.987049,0.405564,0.0343997,2.28288
-7465.93,0.997535,0.224614,4,15,0,7471.08,-1.35798,-4.72896,-2.20734,-4.35434,-3.36756,-0.799168,-0.361319,0.948515,0.346285,-0.131229,2.30137
-7468.13,0.852417,0.224614,4,15,0,7470.85,-1.45957,-4.66602,-2.14802,-4.56882,-3.43768,-0.777239,-0.243833,0.867609,0.435383,0.00524396,2.51994
-7469.59,0.999901,0.224614,4,15,0,7471.15,-1.29596,-4.53752,-2.25187,-4.36587,-3.615,-0.880379,-0.400981,0.898369,0.210716,-0.0982018,2.02445
-7469.74,0.803022,0.224614,4,15,0,7476.1,-1.37789,-4.52622,-2.1511,-4.6736,-3.64047,-0.839882,-0.504993,0.900808,0.225124,-0.00707301,2.51381
-7468.36,0.999432,0.224614,4,31,0,7477.62,-1.38295,-4.58062,-2.1651,-4.50227,-3.66751,-0.780931,-0.36491,0.799231,0.471064,-0.0227006,2.50975
-7467.03,0.970296,0.224614,4,31,0,7473.67,-1.49751,-4.36284,-2.10643,-4.18367,-3.37809,-0.867761,-0.29932,0.976239,0.518254,0.000515378,2.63757
-7471.06,0.672336,0.224614,4,31,0,7477.1,-1.48434,-4.78922,-2.16573,-4.14126,-3.13295,-0.838331,-0.414352,0.989817,0.307203,-0.0671227,2.72457
-7470.16,0.997864,0.224614,5,31,0,7473.13,-1.47295,-4.80788,-2.15805,-4.13332,-3.15806,-0.841385,-0.375529,0.961047,0.309001,-0.111847,2.7127
-7468.26,0.923193,0.224614,4,31,0,7474.93,-1.32683,-4.73319,-2.19546,-4.40183,-3.50023,-0.85873,-0.574621,0.861171,0.213915,-0.0370318,2.18626
-7466.01,0.974203,0.224614,5,31,0,7470.65,-1.49901,-4.56441,-2.15517,-4.28193,-3.38466,-0.764044,-0.394781,1.00411,0.496067,0.00126722,2.35818
-7470.15,0.701472,0.224614,4,15,0,7473.85,-1.4296,-4.21111,-2.12385,-3.85359,-3.31283,-0.893963,-0.416856,0.952222,0.494113,-0.0315858,2.64156
-7471.6,0.865425,0.224614,5,31,0,7476.17,-1.50663,-4.74132,-2.21808,-4.03931,-3.26146,-0.73212,-0.293184,1.01952,0.692739,-0.0344342,2.40568
-7469.13,0.90576,0.224614,4,31,0,7479.13,-1.35099,-4.52377,-2.08218,-4.12652,-3.36938,-0.885526,-0.391028,0.932027,0.338098,-0.14789,2.64413
-7469.59,0.986352,0.224614,4,31,0,7476.18,-1.42576,-4.34924,-2.0719,-4.32453,-3.49741,-0.838951,-0.450874,0.678261,0.402895,0.0795443,2.46136
-7469.19,0.918759,0.224614,4,15,0,7480.18,-1.42966,-4.25211,-2.05404,-4.25566,-3.58254,-0.848055,-0.376655,0.733679,0.430395,0.0190467,2.5313
-7466.48,0.79678,0.224614,4,15,0,7474.09,-1.40288,-4.62194,-2.10653,-4.33252,-3.27727,-0.788307,-0.33408,0.923808,0.499213,-0.094892,2.22117
-7471.21,0.978188,0.224614,4,15,0,7473.65,-1.5073,-4.53534,-2.12964,-4.476,-3.24037,-0.870955,-0.357792,0.880816,0.455008,-0.0526758,2.87225
-7469.74,0.809819,0.224614,4,15,0,7476.34,-1.39621,-4.32616,-2.05276,-4.23228,-3.21936,-0.792205,-0.334867,0.93123,0.433354,0.053782,2.77801
-7467.39,0.722103,0.224614,4,31,0,7475.88,-1.43037,-4.4672,-2.16582,-4.43085,-3.5536,-0.883269,-0.492927,0.893064,0.426481,-0.0179835,2.17738
-7470.72,0.942879,0.224614,4,15,0,7472.71,-1.26641,-4.83478,-2.35163,-4.49247,-3.57275,-0.798309,-0.483376,0.823174,0.350413,-0.109443,2.25889
-7468.01,0.997059,0.224614,3,7,0,7472.23,-1.3367,-4.8664,-2.28807,-4.49536,-3.53373,-0.837891,-0.46535,0.990091,0.286053,-0.049693,2.20487
-7467.24,0.869712,0.224614,5,31,0,7471.4,-1.41515,-4.38621,-2.11444,-4.42301,-3.30811,-0.839569,-0.502261,1.03582,0.381481,-0.0616246,2.41215
-7466.34,0.970105,0.224614,4,15,0,7470.42,-1.42064,-4.59141,-2.21013,-4.07366,-3.33908,-0.795444,-0.467423,1.06352,0.403343,0.00926871,2.42756
-7467.54,0.909534,0.224614,4,15,0,7471.85,-1.37365,-4.48311,-2.22377,-4.25067,-3.32233,-0.892607,-0.326097,0.78469,0.331828,-0.0677705,2.43246
-7466.26,0.973742,0.224614,4,15,0,7470.05,-1.45287,-4.65421,-2.16649,-4.21191,-3.2906,-0.768249,-0.319344,1.06253,0.457582,0.052845,2.46972
-7469.44,0.767745,0.224614,4,15,0,7473.21,-1.50888,-4.55825,-2.09616,-4.04225,-3.22092,-0.826595,-0.346924,0.864332,0.592946,0.125339,2.35863
-7468.82,0.979516,0.224614,4,15,0,7472.94,-1.34346,-4.42303,-2.1663,-4.22914,-3.29653,-0.792737,-0.334344,1.10406,0.375353,0.0308768,2.42575
-7468.75,0.942218,0.224614,4,15,0,7471.22,-1.47473,-4.57535,-2.24736,-4.17689,-3.29894,-0.806779,-0.428974,0.843195,0.481466,0.0308448,2.16356
-7470.82,0.892532,0.224614,4,15,0,7478.16,-1.52182,-4.30253,-2.1232,-4.40194,-3.34301,-0.715624,-0.219246,0.944143,0.616079,-0.095362,2.29152
-7467.47,0.990133,0.224614,4,15,0,7474.12,-1.4313,-4.58056,-2.07225,-4.33254,-3.20954,-0.841912,-0.263787,0.915057,0.507228,-0.096935,2.4016
-7469.08,0.987878,0.224614,4,31,0,7473.65,-1.37635,-4.89492,-2.30949,-4.11677,-3.3746,-0.839481,-0.398829,1.05606,0.263732,-0.0522865,2.46503
-7470.92,0.865773,0.224614,4,31,0,7477.92,-1.53282,-4.9399,-2.14949,-3.80528,-3.39821,-0.766196,-0.214156,0.967463,0.517227,-0.00263917,2.56113
-7467.77,0.946898,0.224614,4,31,0,7476.88,-1.47249,-4.44514,-2.23659,-4.14584,-3.30935,-0.786326,-0.280617,1.10127,0.570593,-0.108368,2.49051
-7470.2,0.955113,0.224614,5,31,0,7474.67,-1.37539,-4.62608,-2.17236,-3.77106,-3.38566,-0.855619,-0.385724,0.929315,0.223731,-0.142333,2.32357
-7470.48,0.611286,0.224614,4,15,0,7479.09,-1.42544,-4.33939,-2.25424,-3.89921,-3.37122,-0.798664,-0.50119,0.89315,0.216032,0.00506051,2.60349
-7471.89,0.969051,0.224614,4,15,0,7475.6,-1.50606,-4.53816,-2.05968,-4.08957,-3.2284,-0.830642,-0.141514,1.09329,0.715712,0.0988431,2.6026
-7474.22,0.916977,0.224614,4,31,0,7478.11,-1.43828,-4.63402,-2.07529,-4.2894,-3.30709,-0.781277,-0.157434,0.67034,0.652411,-0.0439724,2.43458
-7471.42,0.871437,0.224614,5,31,0,7479.51,-1.36979,-4.20311,-2.30262,-4.5426,-3.54864,-0.855412,-0.260325,0.93062,0.401902,-0.148391,2.32966
-7468.93,0.921765,0.224614,4,31,0,7477.09,-1.3928,-4.73515,-2.26266,-4.26987,-3.31907,-0.872682,-0.590246,0.890654,0.334544,-0.127763,2.45406
-7468.06,0.903265,0.224614,5,31,0,7473.73,-1.41872,-4.17971,-2.1093,-4.17903,-3.47568,-0.809546,-0.235414,0.952915,0.55209,-0.014801,2.43683
-7466,0.843596,0.224614,3,15,0,7475.07,-1.42329,-4.44564,-2.18118,-4.24902,-3.34924,-0.845163,-0.47616,0.784697,0.37528,-0.0187483,2.35947
-7464.8,0.986589,0.224614,3,15,0,7470,-1.4589,-4.50266,-2.18683,-4.23589,-3.38328,-0.826831,-0.382771,0.861605,0.390235,0.0239647,2.38187
-7466.67,0.951235,0.224614,3,15,0,7468.62,-1.38225,-4.20312,-2.16888,-4.27372,-3.33019,-0.865479,-0.396419,0.9648,0.406762,-0.130488,2.50149
-7468.7,0.749195,0.224614,4,15,0,7475.68,-1.4506,-4.32761,-2.21506,-4.3251,-3.49813,-0.820369,-0.326756,1.04238,0.341333,0.0811418,2.65976
